,content,time,author
150,bot is behind u to answer yes or no🤣,2021-06-11 14:17:46.707,techyChung
151,,2021-06-11 14:17:28.733,Atlanta
152,"<:atlanta_error:736144198318686278> | You must send ""yes"" or ""no""!",2021-06-11 14:17:28.546,Atlanta
153,*translate english Учим руский вместе с ботом,2021-06-11 14:17:28.358,Nanachi Yevhenii
154,,2021-06-11 14:16:50.518,Atlanta
155,"<:atlanta_error:736144198318686278> | You must send ""yes"" or ""no""!",2021-06-11 14:16:50.301,Atlanta
156,*translate english привет,2021-06-11 14:16:49.997,Nanachi Yevhenii
157,wow,2021-06-11 14:16:38.187,techyChung
158,,2021-06-11 14:16:30.363,Atlanta
159,"<:atlanta_error:736144198318686278> | You must send ""yes"" or ""no""!",2021-06-11 14:16:30.112,Atlanta
160,*translate russian привет,2021-06-11 14:16:29.917,Nanachi Yevhenii
161,"<@588858125126336544>, do you agree to marry <@751368229158649886>? Answer with ""yes"" or ""no""!",2021-06-11 14:16:28.860,Atlanta
162,*marry <@!588858125126336544>,2021-06-11 14:16:28.673,techyChung
163,lol,2021-06-11 14:16:16.291,techyChung
164,Now we have a poligamy relationships,2021-06-11 14:16:03.313,Nanachi Yevhenii
165,😂,2021-06-11 14:15:59.794,techyChung
166,bot wants me to marry myself i see,2021-06-11 14:15:55.258,techyChung
167,,2021-06-11 14:15:43.177,Atlanta
168,*someone,2021-06-11 14:15:42.899,techyChung
169,<:atlanta_error:736144198318686278> | You must mention a valid member!,2021-06-11 14:15:40.433,Atlanta
170,*marry,2021-06-11 14:15:35.600,techyChung
171,hahaha i see,2021-06-11 14:15:30.285,techyChung
172,atlanta is making me jealous!!!! higher compatibilty % and then this!!???,2021-06-11 14:15:19.985,techyChung
173,All hidden pieces of code,2021-06-11 14:15:17.656,Nanachi Yevhenii
174,I've seen its internal implementation,2021-06-11 14:15:07.739,Nanachi Yevhenii
175,😂,2021-06-11 14:14:46.324,techyChung
176,why is the fuck atlanta so close to u!!???,2021-06-11 14:14:40.815,techyChung
177,omg!!!!!,2021-06-11 14:14:30.957,techyChung
178,,2021-06-11 14:14:25.111,Atlanta
179,*someone,2021-06-11 14:14:20.827,Nanachi Yevhenii
180,<:atlanta_error:736144198318686278> | You must mention a valid member!,2021-06-11 14:14:04.262,Atlanta
181,*marry *someone,2021-06-11 14:14:03.921,Nanachi Yevhenii
182,😂,2021-06-11 14:13:56.311,Nanachi Yevhenii
183,i loved it,2021-06-11 14:13:50.240,techyChung
184,lol this bot is DOPE,2021-06-11 14:13:47.787,techyChung
185,"techyChung, ask again later.",2021-06-11 14:13:40.043,Atlanta
186,*8ball will <@!588858125126336544> marry me if i try again?,2021-06-11 14:13:37.074,techyChung
187,😂,2021-06-11 14:13:17.556,techyChung
188,wow,2021-06-11 14:13:14.312,techyChung
189,You will never lose yourself,2021-06-11 14:13:06.871,Nanachi Yevhenii
190,"It's safe, she is right",2021-06-11 14:12:55.774,Nanachi Yevhenii
191,will i marry myself?,2021-06-11 14:12:42.793,techyChung
192,🤣,2021-06-11 14:12:37.926,techyChung
193,"techyChung, it's definitely safe.",2021-06-11 14:12:27.171,Atlanta
194,*8ball will <@!751368229158649886> marry me?,2021-06-11 14:12:26.888,techyChung
195,<:atlanta_success:736144092123234354> | Suggestions will be sent in **<#842453680531177497>**!,2021-06-11 14:12:14.349,Atlanta
196,*setsuggests,2021-06-11 14:12:14.137,Nanachi Yevhenii
197,,2021-06-11 14:11:41.687,Atlanta
198,*configuration,2021-06-11 14:11:41.425,Nanachi Yevhenii
199,🤣,2021-06-11 14:11:15.335,techyChung
200,"techyChung, better not tell you now.",2021-06-11 14:11:05.231,Atlanta
201,*8ball will <@!557445719892688897> marry me?,2021-06-11 14:11:05.085,techyChung
202,"Nanachi Yevhenii, I don't think.",2021-06-11 14:11:00.206,Atlanta
203,*8ball will <@!557445719892688897> marry me?,2021-06-11 14:10:54.971,Nanachi Yevhenii
204,😂,2021-06-11 14:10:46.272,techyChung
205,"techyChung, I don't think.",2021-06-11 14:10:40.041,Atlanta
206,*8ball will <@!588858125126336544> marry me?,2021-06-11 14:10:39.357,techyChung
207,wise answer,2021-06-11 14:10:31.732,Nanachi Yevhenii
208,wow,2021-06-11 14:10:22.129,techyChung
209,"techyChung, ask again later.",2021-06-11 14:10:14.841,Atlanta
210,*8ball will <@!588858125126336544> marry me?,2021-06-11 14:10:14.643,techyChung
211,<:atlanta_error:736144198318686278> | You must enter a question!,2021-06-11 14:10:14.493,Atlanta
212,*8ball,2021-06-11 14:10:14.392,Nanachi Yevhenii
213,<:atlanta_error:736144198318686278> | You must enter a question!,2021-06-11 14:10:03.543,Atlanta
214,*8ball Will <@!751368229158649886>  marry <@!557445719892688897>,2021-06-11 14:10:03.352,Nanachi Yevhenii
215,<:atlanta_error:736144198318686278> | You must enter a question!,2021-06-11 14:09:42.671,Atlanta
216,*8ball will <@!588858125126336544> marry me if i try again,2021-06-11 14:09:42.465,techyChung
217,<:atlanta_error:736144198318686278> | You must enter a question!,2021-06-11 14:09:25.988,Atlanta
218,*8ball will <@!588858125126336544> marry me if i try again,2021-06-11 14:09:25.809,techyChung
219,,2021-06-11 14:09:04.328,Atlanta
220,*achievements,2021-06-11 14:09:04.137,Nanachi Yevhenii
221,,2021-06-11 14:08:27.845,Atlanta
222,*lovecalc <@!588858125126336544> <@!557445719892688897>,2021-06-11 14:08:27.549,Nanachi Yevhenii
223,https://tenor.com/view/the-office-michael-scott-i-will-kill-you-kill-kill-you-gif-16432800,2021-06-11 14:08:12.932,techyChung
224,<:atlanta_error:736144198318686278> | You must mention two members!,2021-06-11 14:08:09.898,Atlanta
225,*lovecalc <@!588858125126336544> <@&852903857352343563>,2021-06-11 14:08:09.538,Nanachi Yevhenii
226,https://tenor.com/view/tom-and-jerry-tom-the-cat-shock-scared-gif-15003103,2021-06-11 14:08:03.137,techyChung
227,😮,2021-06-11 14:07:55.738,techyChung
228,"omg 56%, you are great couple",2021-06-11 14:07:49.446,Nanachi Yevhenii
229,I'll rather merry this bot than me 🤣,2021-06-11 14:07:35.299,Nanachi Yevhenii
230,😳,2021-06-11 14:07:33.702,techyChung
231,omg!!!!,2021-06-11 14:07:28.345,techyChung
232,,2021-06-11 14:07:20.814,Atlanta
233,*lovecalc <@!751368229158649886> <@!557445719892688897>,2021-06-11 14:07:20.502,Nanachi Yevhenii
234,"You see, we have only 26%",2021-06-11 14:07:12.454,Nanachi Yevhenii
235,,2021-06-11 14:06:59.858,Atlanta
236,*lovecalc <@!588858125126336544> <@!751368229158649886>,2021-06-11 14:06:55.943,Nanachi Yevhenii
237,"techyChung, outlook not so good.",2021-06-11 14:06:33.800,Atlanta
238,*8ball will <@!588858125126336544> marry me?,2021-06-11 14:06:33.622,techyChung
239,,2021-06-11 14:06:28.769,Atlanta
240,*lovecalc <@!588858125126336544> <@!751368229158649886>,2021-06-11 14:06:28.582,Nanachi Yevhenii
241,<:atlanta_error:736144198318686278> | You must mention two members!,2021-06-11 14:06:21.361,Atlanta
242,*lovecalc,2021-06-11 14:06:21.070,Nanachi Yevhenii
243,<:atlanta_error:736144198318686278> | You must enter a question!,2021-06-11 14:06:02.576,Atlanta
244,*8ball,2021-06-11 14:06:02.352,techyChung
245,he know everything,2021-06-11 14:05:57.458,Nanachi Yevhenii
246,"It's not just bot, it's an predictor",2021-06-11 14:05:53.446,Nanachi Yevhenii
247,really??😂 bot answers if i marry or not,2021-06-11 14:05:10.018,techyChung
248,http://lmgtfy.com/?q=frog,2021-06-11 14:04:09.714,Atlanta
249,,2021-06-11 14:03:46.450,Atlanta
250,*joke,2021-06-11 14:03:46.201,Nanachi Yevhenii
251,<:atlanta_error:736144198318686278> | You must wait **1** second(s) to be able to run this command again!,2021-06-11 14:03:44.569,Atlanta
252,*joke,2021-06-11 14:03:44.400,Nanachi Yevhenii
253,,2021-06-11 14:03:42.053,Atlanta
254,*joke,2021-06-11 14:03:41.808,Nanachi Yevhenii
255,,2021-06-11 14:03:38.267,Atlanta
256,*joke,2021-06-11 14:03:37.051,Nanachi Yevhenii
257,,2021-06-11 14:03:29.619,Atlanta
258,*joke,2021-06-11 14:03:29.375,Nanachi Yevhenii
259,,2021-06-11 14:03:20.133,Atlanta
260,*joke,2021-06-11 14:03:19.878,Nanachi Yevhenii
261,,2021-06-11 14:03:11.848,Atlanta
262,*joke,2021-06-11 14:03:11.124,Nanachi Yevhenii
263,,2021-06-11 14:02:51.867,Atlanta
264,*fml,2021-06-11 14:02:49.156,Nanachi Yevhenii
265,,2021-06-11 14:02:40.093,Atlanta
266,*fml,2021-06-11 14:02:39.798,Nanachi Yevhenii
267,,2021-06-11 14:02:10.993,Atlanta
